what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302117629227
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302117634849
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302117640247
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302117641997
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302117653965
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302117677062
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302117678534
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302117717180
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1302117742911
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1302117745111
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1302117779680
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302117795404
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302117797570
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302117811201
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1302117830482
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302117834017
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302117835293
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302117863856
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302117889159
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302117891678
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302118031129
executed,command,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui.format.active.elements",1302118160026
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302118198206
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302118199842
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302118220037
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302118225507
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302118227172
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302118237585
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302118287893
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302118301553
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302118447971
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302118457259
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302118458541
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302118488075
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302118496604
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302118498456
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302118499258
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302118499932
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302118602400
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302118625484
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302118626043
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302118626413
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302118712425
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302118722150
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302118807205
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302118989788
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302119026528
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302119029918
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302119072995
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1302119083680
activated,perspective,org.eclipse.php.ui,,"org.eclipse.php.perspective",1302806962678
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1302806962680
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1302806962719
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1302806962737
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1302806962774
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1302806962800
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1302806962827
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1302806962845
